train_loss,val_loss,train_dice_WT,val_dice_WT,train_dice_TC,val_dice_TC,traindice_ET,valdice_ET
0.6060197545289994,0.29358578298196375,0.2692222,0.4505256,0.116748914,0.24424455,0.07029573,0.21297127
0.26446468114852906,0.22949475881113,0.528393,0.5927026,0.34808815,0.4047327,0.32249147,0.38866606
0.23569544327259065,0.21585321592619694,0.6065096,0.64442647,0.44108972,0.44934022,0.4309685,0.4555174
0.22763351505994797,0.21906162970569504,0.6409733,0.67828363,0.48442608,0.50534654,0.4853051,0.49949232
0.2109732891321182,0.1997649895242486,0.68665075,0.7290747,0.52810615,0.54303366,0.5261477,0.5344229
0.19698273169994354,0.19273014586285292,0.7097046,0.71460766,0.5663267,0.56536126,0.55880785,0.57497954
0.19531016206741333,0.19063287997150802,0.72329384,0.7403766,0.58589923,0.59148806,0.57715964,0.5801949
0.19400025177001953,0.1885921919488337,0.735379,0.75056154,0.5975465,0.60821086,0.5868347,0.587469
0.1831253378391266,0.18719582586174466,0.7474259,0.75650704,0.6174283,0.6235765,0.60406446,0.61206245
0.18463043767213821,0.18780229623574185,0.7571036,0.74489826,0.6302117,0.6356995,0.6143484,0.60934484
0.17375233232975007,0.16772320593495768,0.76441836,0.784492,0.6445176,0.66461915,0.6247419,0.64257985
0.17677208882570267,0.16776374777949662,0.7655502,0.77740383,0.65585214,0.6781813,0.63684005,0.6469142
0.16872840487957,0.17082017778875344,0.773885,0.7758764,0.6727452,0.6709178,0.64358366,0.633009
0.16517754620313643,0.16893579974117506,0.7743268,0.7794098,0.6784803,0.67775285,0.64576054,0.65309334
0.159590944647789,0.18712869393398088,0.78351724,0.742336,0.6940051,0.6890791,0.658301,0.6522356
0.16024543440341948,0.16421302238783514,0.7779628,0.7942106,0.69806874,0.6920622,0.6654096,0.6591722
0.15321014374494552,0.18291786443664734,0.78854734,0.7495584,0.71320575,0.67832565,0.67731214,0.6504173
0.15639271807670593,0.15381672610324693,0.7845425,0.809271,0.7160018,0.7139674,0.68284166,0.6736224
0.15200116407871248,0.1576948560091604,0.79457545,0.7421998,0.7244229,0.70104223,0.69305736,0.6657452
0.14305394589900972,0.1490886508231144,0.80296534,0.81265295,0.7450391,0.71364564,0.7032147,0.6839014
