train_loss,val_loss,train_dice,val_dice,train_jaccard,val_jaccard
1.2300176923274995,1.0521343955917963,0.5384164,0.58774596,0.3947782,0.43723693
0.8963392288684845,0.7120608280575464,0.6131454,0.694509,0.4620349,0.5491701
0.5374721479415894,0.37855163287548793,0.72085154,0.7526855,0.5871571,0.62808007
0.3027946943938732,0.25904804326239084,0.77980906,0.78913087,0.66126597,0.6708906
0.26659849044680595,0.24311599419230506,0.77739227,0.7855817,0.65836823,0.66678756
0.220683471262455,0.21571738917439703,0.8030935,0.8073267,0.6906455,0.69861746
0.20434474648535253,0.1944955578517346,0.8113849,0.8282452,0.70360756,0.72116965
0.19807162775099277,0.1956478797254108,0.8175811,0.8233351,0.7100266,0.7135894
0.18237080489099025,0.19116194416133184,0.82858205,0.8255883,0.7239268,0.7226643
0.18310193952918052,0.1718472538604623,0.82765865,0.84491247,0.7247092,0.7446926
0.17323962965607642,0.17037407953351263,0.83399534,0.84362495,0.733661,0.74492663
0.15678204669058324,0.16020448393528425,0.8488991,0.85115564,0.7524866,0.7548369
0.15850807455927132,0.15392845511318198,0.8486296,0.8591444,0.7532316,0.76527274
0.1492281557023525,0.17240624579172287,0.8538494,0.84336483,0.7603463,0.74519664
0.15812099248915912,0.15069656547099824,0.8478038,0.85814255,0.7516466,0.7648857
0.15637860042601823,0.14330265298485756,0.84817237,0.8661385,0.75468946,0.775962
0.1482454715669155,0.16194007859107049,0.85685545,0.8444733,0.76408666,0.7421497
0.14104121020436286,0.14848233336612346,0.8596644,0.8629031,0.7696848,0.77247316
0.1418300703689456,0.1466712960529895,0.86299205,0.8640964,0.77257484,0.7740085
0.13550961024314165,0.13338613711179248,0.8676234,0.8748299,0.7800067,0.7892269
0.1393856805637479,0.13487337293132903,0.863144,0.87250674,0.77452785,0.785677
0.13451871946454047,0.13474638783742512,0.86793345,0.8710777,0.7809547,0.7834803
0.13648024819791316,0.13817286577134852,0.8678836,0.8682335,0.78124124,0.77864957
0.13722251237183808,0.14335168129394923,0.86423707,0.86150295,0.77737695,0.76841766
0.13478991878032684,0.14337582111595168,0.865246,0.8603353,0.7788767,0.7675891
0.1293013347759843,0.1300109170732044,0.8748078,0.8781459,0.7895948,0.7946013
0.12959364577382804,0.1250345583945986,0.87221783,0.8813545,0.7890547,0.7996605
0.12193719132244588,0.12550163130083727,0.8800078,0.8818692,0.7987798,0.7999707
0.12820171815901996,0.11958242163416885,0.8753698,0.8846963,0.7911165,0.8045105
0.11929388912767172,0.1259986219543313,0.88290125,0.87963116,0.80224824,0.79644346
0.12684070763736963,0.12067284479382492,0.8765314,0.8845756,0.7927894,0.8035138
0.11915029023587703,0.11943900762569337,0.8814008,0.8870214,0.8010004,0.80811316
0.12165651533007622,0.11451590203103565,0.8810934,0.8909733,0.79903644,0.8135179
0.11885823898017406,0.11865469074201962,0.8829299,0.8867282,0.80276585,0.80710196
0.11749214408546686,0.11817633017661079,0.8838217,0.8862322,0.8042477,0.8069105
0.1376216691583395,0.12737813139600412,0.8636476,0.8769907,0.7778047,0.7930602
0.12155934060364962,0.11898915023202934,0.8788888,0.8878208,0.7978175,0.8101036
0.11605824337899685,0.11574342214162388,0.8867006,0.89017975,0.8077012,0.81266296
0.1163658628538251,0.11657509376250562,0.88704824,0.88988084,0.80820334,0.8126388
0.12100865836441517,0.11887792826053642,0.87879974,0.8856052,0.7983142,0.80518436
